mass,"L18 (v0, [Fe/H]=-3)","L18 (v0, [Fe/H]=-2)","L18 (v0, [Fe/H]=-1)","L18 (v0, [Fe/H]=0)","L18 (v150, [Fe/H]=-3)","L18 (v150, [Fe/H]=-2)","L18 (v150, [Fe/H]=-1)","L18 (v150, [Fe/H]=0)","L18 (v300, [Fe/H]=-3)","L18 (v300, [Fe/H]=-2)","L18 (v300, [Fe/H]=-1)","L18 (v300, [Fe/H]=0)"
13,0.02084,0.02209,0.01707,0.02895,0.03358,0.02791,0.1356,0.05052,0.08134,0.3404,0.3073,0.08263
15,0.07674,0.03013,0.03736,0.04386,0.1351,0.2037,0.06654,0.05582,0.115,0.3567,0.4252,0.1338
20,0.02517,0.03001,0.03047,0.04762,0.05762,0.08317,0.08364,0.09759,0.08959,0.124,0.08693,0.1094
25,0.0351,0.03047,0.05527,0.05157,0.06601,0.07212,0.07641,0.1077,0.08799,0.09751,0.08993,0.1077
30,1.4e-08,9.628e-07,0.0001202,0.00597,1.612e-06,2.263e-05,0.0002861,0.005844,9.02e-06,0.0001042,0.0009798,0.005854
40,2.228e-08,1.76e-06,0.0007859,0.008054,1.073e-05,0.0001267,0.001303,0.00818,1.082e-05,0.000119,0.001347,0.008157
60,3.991e-08,2.667e-06,0.001255,0.01341,1.259e-05,0.0001672,0.002343,0.01269,1.523e-05,0.0001578,0.002263,0.0135
80,6.897e-08,9.776e-06,0.002799,0.01785,1.833e-05,0.0002199,0.002956,0.0172,1.896e-05,0.0002302,0.003342,0.01947
120,2.379e-07,0.0001198,0.004833,0.0287,3.152e-05,0.0003327,0.00539,0.02911,2.596e-05,0.0003466,0.005544,0.03155
