mass,S16 (Z9.6),S16 (W18),S16 (N20),"L18 (v0, [Fe/H]=-3)","L18 (v0, [Fe/H]=-2)","L18 (v0, [Fe/H]=-1)","L18 (v0, [Fe/H]=0)","L18 (v150, [Fe/H]=-3)","L18 (v150, [Fe/H]=-2)","L18 (v150, [Fe/H]=-1)","L18 (v150, [Fe/H]=0)","L18 (v300, [Fe/H]=-3)","L18 (v300, [Fe/H]=-2)","L18 (v300, [Fe/H]=-1)","L18 (v300, [Fe/H]=0)","W09 (ST, 8.8M)","W09 (FP3, 8.8M)"
26,,0.2565,0.2523,,,,,,,,,,,,,,
26.1,,0.2224,0.2664,,,,,,,,,,,,,,
26.2,,0.2301,0.2676,,,,,,,,,,,,,,
26.3,,0.2281,0.2982,,,,,,,,,,,,,,
26.4,,0.2554,0.2621,,,,,,,,,,,,,,
26.5,,0.2462,0.259,,,,,,,,,,,,,,
26.6,,,0.2665,,,,,,,,,,,,,,
26.7,,,0.2645,,,,,,,,,,,,,,
26.8,,,0.2749,,,,,,,,,,,,,,
26.9,,,0.2748,,,,,,,,,,,,,,
27,,0.1909,0.2628,,,,,,,,,,,,,,
27.1,,0.2133,0.2732,,,,,,,,,,,,,,
27.2,,0.2136,0.2588,,,,,,,,,,,,,,
27.3,,0.2181,0.2663,,,,,,,,,,,,,,
27.4,,,0.2218,,,,,,,,,,,,,,
29,,,0.1934,,,,,,,,,,,,,,
29.1,,,0.1867,,,,,,,,,,,,,,
29.2,,,0.1805,,,,,,,,,,,,,,
29.6,,,0.1852,,,,,,,,,,,,,,
30,,,,2.613e-08,1.798e-06,0.0002244,0.02495,3.01e-06,4.225e-05,0.0005339,0.02442,1.683e-05,0.0001943,0.001829,0.02445,,
40,,,,4.16e-08,3.285e-06,0.001467,0.03366,2.003e-05,0.0002365,0.002432,0.03417,2.02e-05,0.0002211,0.002512,0.03406,,
60,,0.1284,0.1633,7.451e-08,4.977e-06,0.002344,0.05601,2.351e-05,0.0003121,0.004367,0.05298,2.843e-05,0.0002871,0.004216,0.05641,,
80,,,0.1522,1.287e-07,1.825e-05,0.005225,0.07451,3.421e-05,0.0004102,0.005504,0.07184,3.535e-05,0.0004236,0.006228,0.08132,,
100,,,0.1587,,,,,,,,,,,,,,
120,,0.0976,0.1525,4.441e-07,0.0002237,0.009015,0.1198,5.882e-05,0.0006184,0.01004,0.1215,4.847e-05,0.0006289,0.01033,0.1319,,
