mass,"L18 (v0, [Fe/H]=-3)","L18 (v0, [Fe/H]=-2)","L18 (v0, [Fe/H]=-1)","L18 (v0, [Fe/H]=0)","L18 (v150, [Fe/H]=-3)","L18 (v150, [Fe/H]=-2)","L18 (v150, [Fe/H]=-1)","L18 (v150, [Fe/H]=0)","L18 (v300, [Fe/H]=-3)","L18 (v300, [Fe/H]=-2)","L18 (v300, [Fe/H]=-1)","L18 (v300, [Fe/H]=0)"
13,0.004749,0.004783,0.004077,0.005353,0.005983,0.005996,0.01104,0.008152,0.009756,0.02906,0.02847,0.009
15,0.007379,0.006169,0.007188,0.007451,0.01213,0.01325,0.007608,0.007828,0.01425,0.02845,0.03159,0.01792
20,0.004542,0.005458,0.005739,0.007489,0.008189,0.01048,0.01122,0.01162,0.009968,0.01013,0.009771,0.01301
25,0.005124,0.004212,0.007253,0.005358,0.00826,0.008906,0.008798,0.01229,0.01066,0.01092,0.01025,0.01178
30,1.152e-09,7.92e-08,9.887e-06,0.0004278,1.389e-07,1.868e-06,2.354e-05,0.0004187,7.634e-07,8.622e-06,8.062e-05,0.0004195
40,1.375e-09,1.086e-07,4.849e-05,0.0004329,6.794e-07,7.861e-06,8.041e-05,0.0004398,6.838e-07,7.386e-06,8.315e-05,0.0004385
60,1.642e-09,1.097e-07,5.166e-05,0.0004806,5.42e-07,6.94e-06,9.657e-05,0.0004547,6.634e-07,6.615e-06,9.332e-05,0.0004841
80,2.128e-09,3.016e-07,8.639e-05,0.0004797,6.162e-07,6.881e-06,9.146e-05,0.0004628,7.513e-07,7.351e-06,0.0001034,0.0005235
120,4.894e-09,2.47e-06,9.953e-05,0.0005144,1.109e-06,7.107e-06,0.0001112,0.000522,7.76e-07,7.732e-06,0.0001144,0.0005656
