mass,S16 (Z9.6),S16 (W18),S16 (N20),"L18 (v0, [Fe/H]=-3)","L18 (v0, [Fe/H]=-2)","L18 (v0, [Fe/H]=-1)","L18 (v0, [Fe/H]=0)","L18 (v150, [Fe/H]=-3)","L18 (v150, [Fe/H]=-2)","L18 (v150, [Fe/H]=-1)","L18 (v150, [Fe/H]=0)","L18 (v300, [Fe/H]=-3)","L18 (v300, [Fe/H]=-2)","L18 (v300, [Fe/H]=-1)","L18 (v300, [Fe/H]=0)","W09 (ST, 8.8M)","W09 (FP3, 8.8M)"
8.8,,,,,,,,,,,,,,,,0.004442,0.004264
9,0.001055,,,,,,,,,,,,,,,,
9.25,0.001019,,,,,,,,,,,,,,,,
9.5,0.001287,,,,,,,,,,,,,,,,
9.75,0.00201,,,,,,,,,,,,,,,,
10,0.002925,,,,,,,,,,,,,,,,
10.25,0.003203,,,,,,,,,,,,,,,,
10.5,0.002327,,,,,,,,,,,,,,,,
10.75,0.003397,,,,,,,,,,,,,,,,
11,0.002319,,,,,,,,,,,,,,,,
11.25,0.00235,,,,,,,,,,,,,,,,
11.5,0.003005,,,,,,,,,,,,,,,,
11.75,0.002216,,,,,,,,,,,,,,,,
12,0.003896,,,,,,,,,,,,,,,,
21.6,,0.00837,0.01072,,,,,,,,,,,,,,
21.7,,,0.009343,,,,,,,,,,,,,,
25,,,,0.005866,0.005867,0.006155,0.009082,0.005878,0.005869,0.006235,0.009607,0.005964,0.005977,0.006242,0.00983,,
25.2,,0.01174,0.01092,,,,,,,,,,,,,,
25.3,,,0.0124,,,,,,,,,,,,,,
25.4,,0.01034,0.01196,,,,,,,,,,,,,,
25.5,,0.0116,0.01114,,,,,,,,,,,,,,
25.6,,0.009821,0.009653,,,,,,,,,,,,,,
25.7,,0.01014,0.01049,,,,,,,,,,,,,,
25.8,,0.01013,0.01063,,,,,,,,,,,,,,
25.9,,0.01129,0.01079,,,,,,,,,,,,,,
26,,0.01206,0.01173,,,,,,,,,,,,,,
26.1,,0.01065,0.01215,,,,,,,,,,,,,,
26.2,,0.01086,0.0122,,,,,,,,,,,,,,
26.3,,0.01086,0.01318,,,,,,,,,,,,,,
26.4,,0.01151,0.01175,,,,,,,,,,,,,,
26.5,,0.01126,0.0117,,,,,,,,,,,,,,
26.6,,,0.01224,,,,,,,,,,,,,,
26.7,,,0.01236,,,,,,,,,,,,,,
26.8,,,0.01275,,,,,,,,,,,,,,
26.9,,,0.01236,,,,,,,,,,,,,,
27,,0.009855,0.01227,,,,,,,,,,,,,,
27.1,,0.01073,0.01256,,,,,,,,,,,,,,
27.2,,0.01043,0.0119,,,,,,,,,,,,,,
27.3,,0.01047,0.01256,,,,,,,,,,,,,,
27.4,,,0.01125,,,,,,,,,,,,,,
29,,,0.01079,,,,,,,,,,,,,,
29.1,,,0.01044,,,,,,,,,,,,,,
29.2,,,0.01045,,,,,,,,,,,,,,
29.6,,,0.01038,,,,,,,,,,,,,,
30,,,,1.441e-09,9.912e-08,1.237e-05,0.001376,1.66e-07,2.33e-06,2.945e-05,0.001343,9.287e-07,1.08e-05,0.0001009,0.001344,,
40,,,,2.294e-09,1.812e-07,8.092e-05,0.001856,1.105e-06,1.305e-05,0.0001341,0.001878,1.114e-06,1.266e-05,0.0001391,0.001869,,
60,,0.007879,0.009103,4.11e-09,2.746e-07,0.0001293,0.003084,1.297e-06,1.724e-05,0.0002395,0.002905,1.569e-06,1.844e-05,0.0002317,0.003096,,
80,,,0.007145,7.101e-09,1.006e-06,0.0002881,0.004091,1.887e-06,2.274e-05,0.0003028,0.003933,1.968e-06,2.677e-05,0.0003419,0.004466,,
100,,,0.006374,,,,,,,,,,,,,,
120,,0.004482,0.007007,2.449e-08,1.234e-05,0.0005006,0.006564,3.245e-06,3.549e-05,0.0005519,0.006656,2.673e-06,4.485e-05,0.0005675,0.007249,,
