mass,"L18 (v0, [Fe/H]=-3)","L18 (v0, [Fe/H]=-2)","L18 (v0, [Fe/H]=-1)","L18 (v0, [Fe/H]=0)","L18 (v150, [Fe/H]=-3)","L18 (v150, [Fe/H]=-2)","L18 (v150, [Fe/H]=-1)","L18 (v150, [Fe/H]=0)","L18 (v300, [Fe/H]=-3)","L18 (v300, [Fe/H]=-2)","L18 (v300, [Fe/H]=-1)","L18 (v300, [Fe/H]=0)"
13,0.005633,0.005651,0.005769,0.006977,0.005619,0.005646,0.005901,0.00681,0.005926,0.006684,0.008201,0.007162
15,0.004888,0.004909,0.005081,0.006301,0.004915,0.004969,0.005228,0.02121,0.007408,0.006849,0.006247,0.01879
20,0.00368,0.003703,0.003829,0.005065,0.003652,0.00371,0.003811,0.004803,0.003837,0.003904,0.003978,0.004844
25,0.002914,0.002932,0.003037,0.004125,0.00292,0.002956,0.003076,0.0041,0.002932,0.002986,0.003067,0.004084
30,8.709e-10,5.992e-08,7.479e-06,0.0008317,1.003e-07,1.408e-06,1.78e-05,0.0008141,5.611e-07,6.476e-06,6.098e-05,0.000815
40,1.04e-09,8.213e-08,3.667e-05,0.0008414,5.008e-07,5.911e-06,6.08e-05,0.0008541,5.049e-07,5.528e-06,6.28e-05,0.0008516
60,1.242e-09,8.295e-08,3.906e-05,0.0009335,3.919e-07,5.202e-06,7.278e-05,0.000883,4.739e-07,4.784e-06,7.027e-05,0.0009402
80,1.609e-09,2.281e-07,6.531e-05,0.0009314,4.276e-07,5.127e-06,6.88e-05,0.0008979,4.419e-07,5.295e-06,7.785e-05,0.001017
120,3.701e-09,1.864e-06,7.513e-05,0.0009985,4.902e-07,5.153e-06,8.37e-05,0.001013,4.039e-07,5.241e-06,8.609e-05,0.001099
