mass,"L18 (v0, [Fe/H]=-3)","L18 (v0, [Fe/H]=-2)","L18 (v0, [Fe/H]=-1)","L18 (v0, [Fe/H]=0)","L18 (v150, [Fe/H]=-3)","L18 (v150, [Fe/H]=-2)","L18 (v150, [Fe/H]=-1)","L18 (v150, [Fe/H]=0)","L18 (v300, [Fe/H]=-3)","L18 (v300, [Fe/H]=-2)","L18 (v300, [Fe/H]=-1)","L18 (v300, [Fe/H]=0)"
13,0.06174,0.06218,0.053,0.06959,0.07778,0.07795,0.1436,0.106,0.1268,0.3778,0.3702,0.117
15,0.1107,0.09254,0.1078,0.1118,0.1819,0.1988,0.1141,0.1174,0.2137,0.4267,0.4738,0.2689
20,0.09084,0.1092,0.1148,0.1498,0.1638,0.2096,0.2244,0.2324,0.1994,0.2025,0.1954,0.2602
25,0.1281,0.1053,0.1813,0.1339,0.2065,0.2227,0.22,0.3072,0.2666,0.273,0.2563,0.2944
30,3.455e-08,2.376e-06,0.0002966,0.01283,4.167e-06,5.605e-05,0.0007062,0.01256,2.29e-05,0.0002587,0.002419,0.01258
40,5.5e-08,4.344e-06,0.00194,0.01732,2.718e-05,0.0003144,0.003216,0.01759,2.735e-05,0.0002955,0.003326,0.01754
60,9.853e-08,6.582e-06,0.0031,0.02883,3.252e-05,0.0004164,0.005794,0.02728,3.98e-05,0.0003969,0.005599,0.02904
80,1.702e-07,2.413e-05,0.006911,0.03837,4.93e-05,0.0005505,0.007316,0.03702,6.011e-05,0.0005881,0.008271,0.04188
120,5.872e-07,0.0002963,0.01194,0.06173,0.0001331,0.0008528,0.01334,0.06263,9.312e-05,0.0009278,0.01372,0.06787
