mass,"L18 (v0, [Fe/H]=-3)","L18 (v0, [Fe/H]=-2)","L18 (v0, [Fe/H]=-1)","L18 (v0, [Fe/H]=0)","L18 (v150, [Fe/H]=-3)","L18 (v150, [Fe/H]=-2)","L18 (v150, [Fe/H]=-1)","L18 (v150, [Fe/H]=0)","L18 (v300, [Fe/H]=-3)","L18 (v300, [Fe/H]=-2)","L18 (v300, [Fe/H]=-1)","L18 (v300, [Fe/H]=0)"
13,0.0004395,0.0004438,0.0004503,0.0005521,0.0004453,0.0004445,0.0004683,0.0005712,0.0004655,0.0005238,0.0006302,0.0006137
15,0.0003904,0.0003837,0.0003985,0.0005031,0.0003809,0.0004011,0.0004291,0.00186,0.0006096,0.0005258,0.0005026,0.001637
20,0.0002874,0.000291,0.0003026,0.0004104,0.0002888,0.0002967,0.0003075,0.0004538,0.0003053,0.0003125,0.0003146,0.000453
25,0.0002346,0.0002347,0.0002462,0.0003633,0.0002351,0.0002348,0.0002494,0.0003843,0.0002386,0.0002391,0.0002497,0.0003932
30,4.803e-11,3.304e-09,4.124e-07,4.587e-05,5.532e-09,7.768e-08,9.817e-07,4.478e-05,3.096e-08,3.6e-07,3.362e-06,4.479e-05
40,5.734e-11,4.531e-09,2.023e-06,4.64e-05,2.763e-08,3.262e-07,3.353e-06,4.695e-05,2.784e-08,3.165e-07,3.476e-06,4.674e-05
60,6.849e-11,4.576e-09,2.155e-06,5.14e-05,2.161e-08,2.874e-07,3.992e-06,4.842e-05,2.614e-08,3.074e-07,3.862e-06,5.161e-05
80,8.876e-11,1.258e-08,3.602e-06,5.113e-05,2.359e-08,2.843e-07,3.786e-06,4.916e-05,2.459e-08,3.346e-07,4.273e-06,5.583e-05
120,2.041e-10,1.028e-07,4.172e-06,5.47e-05,2.704e-08,2.958e-07,4.599e-06,5.547e-05,2.228e-08,3.737e-07,4.729e-06,6.041e-05
