#intial_mass winds winds_init cc cc_init
11 1.07067257E-06 1.07067257E-06 1.00896378E-04 5.11736452E-06
12 1.45868720E-06 1.45868720E-06 4.75902520E-05 5.31885779E-06
13 1.92998878E-06 1.92998878E-06 1.58174053E-04 5.53407826E-06
14 2.49187858E-06 2.49187858E-06 1.40682106E-04 5.51858576E-06
15 3.14565235E-06 3.14565235E-06 5.19371760E-05 5.41989976E-06
16 3.90077221E-06 3.90077221E-06 1.40730951E-04 5.38965260E-06
17 4.53583663E-06 4.53583663E-06 1.55409048E-04 5.54889255E-06
18 5.17185741E-06 5.17185741E-06 1.31322695E-04 5.52782539E-06
19 5.51925739E-06 5.51925739E-06 1.80944905E-04 5.88888603E-06
20 5.50742129E-06 5.50742129E-06 1.31568169E-04 6.43639987E-06
21 5.84314613E-06 5.84314613E-06 4.22195878E-05 6.73159601E-06
22 6.59563267E-06 6.59563267E-06 1.03506926E-04 6.67729080E-06
23 7.80742382E-06 7.80742382E-06 7.08681126E-05 5.73401704E-06
24 8.28500919E-06 8.28500919E-06 4.06342532E-04 6.07225464E-06
25 8.04818572E-06 8.04818572E-06 3.64564394E-04 6.99637042E-06
26 9.18390666E-06 9.18390666E-06 1.73774767E-04 6.44008458E-06
27 9.52078423E-06 9.52078423E-06 1.62515882E-04 6.77023431E-06
28 9.86521975E-06 9.86521975E-06 1.64791801E-04 7.07632101E-06
29 1.01984575E-05 1.01984575E-05 1.62546989E-04 7.44989892E-06
30 1.02805092E-05 1.02805092E-05 6.97972629E-05 8.01529163E-06
31 1.06554860E-05 1.06554860E-05 4.41966586E-05 8.23751060E-06
32 1.09954461E-05 1.09954461E-05 4.51373084E-05 8.51612202E-06
33 1.20379106E-05 1.20379106E-05 1.51511573E-04 8.06569982E-06
34 1.22509284E-05 1.22509285E-05 1.83397742E-04 8.58983867E-06
35 1.28835263E-05 1.28835267E-05 7.88252857E-05 8.66783468E-06
36 1.36459944E-05 1.36460008E-05 9.69384063E-05 8.39452300E-06
37 1.38429830E-05 1.38768329E-05 4.61445123E-05 8.82742435E-06
38 1.41628487E-05 1.42641122E-05 3.86886607E-05 9.06218623E-06
39 1.44912694E-05 1.46894556E-05 4.24036343E-05 9.26779547E-06
40 1.48168232E-05 1.50917599E-05 9.99824590E-05 9.55789676E-06
41 1.51459741E-05 1.55250094E-05 3.26836104E-04 1.00813204E-05
42 1.54786957E-05 1.59829646E-05 3.14285726E-04 1.01658052E-05
43 1.58116377E-05 1.64219996E-05 3.09336055E-04 1.03937993E-05
44 1.61421495E-05 1.68788235E-05 3.71662085E-04 1.07763777E-05
45 1.64694268E-05 1.73091796E-05 3.71067682E-04 1.09439087E-05
