#intial_mass winds winds_init cc cc_init
11 1.65376070E-99 1.65376070E-99 8.90515423E-98 7.90428047E-99
12 2.25308803E-99 2.25308803E-99 1.25940740E-97 8.21550693E-99
13 2.98106037E-99 2.98106037E-99 1.37193770E-97 8.54793643E-99
14 3.84895528E-99 3.84895528E-99 1.59761590E-97 8.52400674E-99
15 4.85877415E-99 4.85877415E-99 1.84623163E-97 8.37157635E-99
16 6.02513216E-99 6.02513216E-99 2.09710265E-97 8.32485659E-99
17 7.00605258E-99 7.00605258E-99 2.07558524E-97 8.57081859E-99
18 7.98845017E-99 7.98845017E-99 2.31158305E-97 8.53827826E-99
19 8.52504413E-99 8.52504413E-99 3.14574342E-97 9.09597247E-99
20 8.50676209E-99 8.50676209E-99 3.20604917E-97 9.94166227E-99
21 9.02532263E-99 9.02532263E-99 3.19151209E-97 1.03976222E-98
22 1.01876132E-98 1.01876132E-98 3.49854036E-97 1.03137424E-98
23 1.20593456E-98 1.20593456E-98 3.44382279E-97 8.85676184E-99
24 1.27970239E-98 1.27970239E-98 3.36346098E-97 9.37920360E-99
25 1.24312264E-98 1.24312264E-98 3.76069198E-97 1.08065927E-98
26 1.41854608E-98 1.41854608E-98 5.13892279E-28 9.94735366E-99
27 1.47058019E-98 1.47058019E-98 3.64861565E-28 1.04573029E-98
28 1.52378169E-98 1.52378169E-98 2.83391485E-35 1.09300844E-98
29 1.57525359E-98 1.57525359E-98 8.55207088E-46 1.15071127E-98
30 1.58792730E-98 1.58792730E-98 4.73076149E-97 1.23804182E-98
31 1.64584620E-98 1.64584620E-98 5.56120927E-46 1.27236576E-98
32 1.69835643E-98 1.69835643E-98 6.49888711E-88 1.31540008E-98
33 1.85937549E-98 1.85937549E-98 6.51835123E-28 1.24582787E-98
34 1.89227822E-98 1.89227822E-98 6.96069276E-28 1.32678635E-98
35 1.98998935E-98 1.98998935E-98 6.43190678E-28 1.33883361E-98
36 2.10776108E-98 2.10776108E-98 6.79961060E-28 1.29661790E-98
37 2.14341539E-98 2.14341539E-98 7.15402632E-28 1.36348383E-98
38 2.20323456E-98 2.20323456E-98 7.35142817E-28 1.39974515E-98
39 2.26893308E-98 2.26893308E-98 7.52348185E-28 1.43150355E-98
40 2.33107300E-98 2.33107300E-98 7.78051652E-28 1.47631259E-98
41 2.39799271E-98 2.39799271E-98 8.20674031E-28 1.55716059E-98
42 2.46872848E-98 2.46872848E-98 8.28421370E-28 1.57021011E-98
43 2.53654180E-98 2.53654180E-98 8.47217557E-28 1.60542609E-98
44 2.60710283E-98 2.60710283E-98 8.44780784E-28 1.66451914E-98
45 2.67357562E-98 2.67357562E-98 8.93411005E-28 1.69039596E-98
