#intial_mass winds winds_init cc cc_init
11 1.79627619E-99 1.66783797E-99 1.30939478E-25 7.97156390E-99
12 2.37514521E-99 2.27226694E-99 4.67280138E-27 8.28543961E-99
13 3.85802487E-99 3.00643599E-99 5.36645664E-27 8.62069885E-99
14 8.04494988E-99 3.88171866E-99 3.40495496E-27 8.59656545E-99
15 1.45473643E-98 4.90013339E-99 1.19187263E-26 8.44283754E-99
16 3.15212183E-98 6.07641976E-99 3.23904833E-25 8.39572009E-99
17 3.68555948E-98 7.06569005E-99 4.40956860E-24 8.64377578E-99
18 3.99533711E-98 8.05645008E-99 2.65238541E-22 8.61095846E-99
19 4.86628809E-98 8.59761168E-99 2.92390649E-21 9.17339992E-99
20 4.71639055E-98 8.57917402E-99 1.26971808E-22 1.00262885E-98
21 4.56598777E-98 9.10214869E-99 1.11857251E-24 1.04861296E-98
22 5.94391354E-98 1.02743330E-98 2.63764699E-21 1.04015358E-98
23 6.81853062E-98 1.21619981E-98 8.01244929E-12 8.93215306E-99
24 6.97090581E-98 1.29059558E-98 9.83824912E-08 9.45904199E-99
25 5.52508676E-98 1.25370445E-98 1.12146978E-12 1.08985814E-98
26 6.02406345E-98 1.43062114E-98 4.41220105E-07 1.00320283E-98
27 6.84777784E-98 1.48309818E-98 3.98726360E-07 1.05463184E-98
28 7.06438569E-98 1.53675255E-98 3.28099919E-07 1.10231243E-98
29 8.12755347E-98 1.58866258E-98 3.23317823E-07 1.16050645E-98
30 5.91082314E-98 1.60144418E-98 4.87816356E-08 1.24858038E-98
31 8.26674528E-98 1.65985610E-98 6.92993711E-08 1.28319649E-98
32 1.13817871E-97 1.71281331E-98 3.50381550E-07 1.32659713E-98
33 8.58561546E-98 1.87520301E-98 7.37950725E-07 1.25643271E-98
34 9.39120277E-98 1.90838582E-98 8.49447721E-07 1.33808032E-98
35 2.06235806E-94 2.00692869E-98 3.02795273E-07 1.35023014E-98
36 1.24128057E-97 2.12570293E-98 2.75272059E-06 1.30765507E-98
37 1.17009360E-84 2.16166074E-98 2.59658374E-07 1.37509018E-98
38 2.09449184E-84 2.22198910E-98 1.38047629E-06 1.41166017E-98
39 6.55076995E-84 2.28824687E-98 1.51768869E-06 1.44368890E-98
40 1.37026081E-83 2.35091574E-98 1.12374766E-06 1.48887937E-98
41 8.15611226E-84 2.41840509E-98 3.18621564E-07 1.57041558E-98
42 3.16803214E-83 2.48974298E-98 4.63468398E-07 1.58357618E-98
43 5.73000067E-83 2.55813355E-98 3.35761835E-07 1.61909192E-98
44 1.02413565E-83 2.62929521E-98 3.72133692E-07 1.67868799E-98
45 1.12830340E-83 2.69633384E-98 3.76612803E-07 1.70478508E-98
