Species,ST,FP3
22Na,5.37E-09,5.81E-09
26Al,3.27E-08,2.97E-08
41Ca,8.05E-08,8.43E-08
44Ti,5.96E-06,7.17E-06
60Fe,1.40E-14,4.79E-16
56Ni,2.50E-03,2.91E-03
57Ni,1.77E-04,2.11E-04
92Nb,6.35E-09,1.34E-10
