#int_mass winds winds_init
0.5 9.77439591E-98 8.88794264E-99
0.6 3.29709802E-73 1.31452803E-98
0.7 6.43658057E-76 1.50759363E-98
0.8 2.11676182E-72 1.69456925E-98
0.9 1.05748492E-71 1.87066007E-98
1.0 1.71519214E-72 2.04437520E-98
1.1 1.74507639E-70 2.14777521E-98
1.2 4.97512033E-72 2.39328135E-98
1.3 1.84717759E-72 2.56499882E-98
1.4 9.91795907E-72 2.74060295E-98
1.5 4.04963370E-70 2.93097545E-98
1.6 1.09386039E-69 3.10411614E-98
1.7 1.03675411E-70 3.17798648E-98
1.8 6.99790624E-68 3.22851830E-98
1.9 4.43951902E-70 3.27510766E-98
2.0 1.94453987E-70 3.31771691E-98
