#int_mass winds winds_init
0.5 1.90238871E-06 3.09696655E-06
0.6 3.14800934E-06 4.58041811E-06
0.7 7.55527161E-06 5.25314713E-06
0.8 1.18796091E-05 5.90465589E-06
0.9 1.56923227E-05 6.51823700E-06
1.0 1.95432244E-05 7.12354012E-06
1.1 1.30471244E-05 7.48383315E-06
1.2 2.76856122E-05 8.33928906E-06
1.3 3.13635194E-05 8.93763143E-06
1.4 3.52515123E-05 9.54951669E-06
1.5 3.80309134E-05 1.02128618E-05
1.6 4.07194990E-05 1.08161633E-05
1.7 4.32665620E-05 1.10735614E-05
1.8 4.57293162E-05 1.12496374E-05
1.9 4.82338671E-05 1.14119761E-05
2.0 5.00572866E-05 1.15604462E-05
