#int_mass winds winds_init
0.5 5.14595142E-53 8.86229314E-99
0.6 5.25935965E-33 1.31073447E-98
0.7 1.87807380E-32 1.50324290E-98
0.8 3.34253590E-32 1.68967893E-98
0.9 3.72193604E-32 1.86526158E-98
1.0 3.95203726E-32 2.03847538E-98
1.1 3.10510923E-32 2.14157699E-98
1.2 5.24763955E-32 2.38637463E-98
1.3 5.71395082E-32 2.55759655E-98
1.4 6.58626540E-32 2.73269391E-98
1.5 5.45226751E-32 2.92251702E-98
1.6 6.54362761E-32 3.09515805E-98
1.7 6.50160050E-32 3.16881520E-98
1.8 6.22649841E-32 3.21920119E-98
1.9 6.52905154E-32 3.26565611E-98
2.0 5.73859675E-32 3.30814239E-98
