#wind_eta winds winds_init
0.5 1.24783847E-04 1.24782696E-04
0.6 1.41483194E-04 1.41482079E-04
0.7 1.54446430E-04 1.54444813E-04
0.8 1.67315929E-04 1.67313727E-04
0.9 1.76777879E-04 1.74095621E-04
1.0 1.86836276E-04 1.82017637E-04
1.1 1.98165624E-04 1.91387853E-04
1.2 2.02458804E-04 1.95839834E-04
1.3 2.16753306E-04 2.07359503E-04
1.4 2.25660655E-04 2.15308344E-04
1.5 2.33755513E-04 2.22751212E-04
1.6 2.41412689E-04 2.29891930E-04
1.7 2.46913632E-04 2.35037432E-04
1.8 2.51659795E-04 2.39476472E-04
1.9 2.55685567E-04 2.43246303E-04
2.0 2.59377098E-04 2.46733937E-04
