#wind_eta winds winds_init
0.5 2.46889554E-02 2.48477273E-02
0.6 2.80315649E-02 2.81730417E-02
0.7 3.05181683E-02 3.07542850E-02
0.8 3.29715289E-02 3.33168460E-02
0.9 3.43727862E-02 3.46673107E-02
1.0 3.59305527E-02 3.62448058E-02
1.1 3.77419521E-02 3.81106782E-02
1.2 3.85916053E-02 3.89971921E-02
1.3 4.08082517E-02 4.12910806E-02
1.4 4.23176139E-02 4.28739174E-02
1.5 4.37278148E-02 4.43560008E-02
1.6 4.50787535E-02 4.57779174E-02
1.7 4.60558423E-02 4.68025309E-02
1.8 4.69004058E-02 4.76864681E-02
1.9 4.76189755E-02 4.84371470E-02
2.0 4.82842535E-02 4.91316326E-02
