#int_mass winds winds_init
0.5 6.98028275E-98 8.86229314E-99
0.6 7.00042575E-98 1.31073447E-98
0.7 7.66651269E-98 1.50324290E-98
0.8 8.48403427E-98 1.68967893E-98
0.9 8.36357600E-98 1.86526158E-98
1.0 8.32494096E-98 2.03847538E-98
1.1 1.05161391E-97 2.14157699E-98
1.2 1.01355210E-97 2.38637463E-98
1.3 1.05145610E-97 2.55759655E-98
1.4 1.12596161E-97 2.73269391E-98
1.5 1.26535821E-97 2.92251702E-98
1.6 1.46121248E-97 3.09515805E-98
1.7 1.39674578E-97 3.16881520E-98
1.8 1.37796559E-97 3.21920119E-98
1.9 1.37478854E-97 3.26565611E-98
2.0 1.44496753E-97 3.30814239E-98
