#int_mass winds winds_init
0.5 8.71843614E-05 8.71843614E-05
0.6 1.30441527E-04 1.28945800E-04
0.7 1.53651171E-04 1.47884154E-04
0.8 1.75503186E-04 1.66225125E-04
0.9 1.95614035E-04 1.83498375E-04
1.0 2.15067805E-04 2.00538587E-04
1.1 2.22272318E-04 2.10681389E-04
1.2 2.52873046E-04 2.34763786E-04
1.3 2.70908707E-04 2.51608042E-04
1.4 2.89071288E-04 2.68833551E-04
1.5 3.08515436E-04 2.87507732E-04
1.6 3.26018801E-04 3.04491596E-04
1.7 3.33626999E-04 3.11737747E-04
1.8 3.38849578E-04 3.16694557E-04
1.9 3.43635911E-04 3.21264641E-04
2.0 3.47932817E-04 3.25444303E-04
