#int_mass winds winds_init
0.5 1.56582960E-98 8.93773144E-99
0.6 2.44260831E-98 1.32189180E-98
0.7 3.23311053E-98 1.51603892E-98
0.8 8.05438720E-98 1.70406195E-98
0.9 3.83283566E-96 1.88113920E-98
1.0 1.57563503E-87 2.05582745E-98
1.1 3.34355597E-94 2.15980669E-98
1.2 2.08432602E-81 2.40668812E-98
1.3 1.46267645E-81 2.57936752E-98
1.4 6.74386112E-82 2.75595536E-98
1.5 1.08514946E-81 2.94739430E-98
1.6 2.57985771E-81 3.12150490E-98
1.7 1.66646124E-78 3.19578904E-98
1.8 5.56045194E-82 3.24660393E-98
1.9 4.77581390E-82 3.29345428E-98
2.0 3.85964158E-81 3.33630221E-98
