#int_mass winds winds_init
0.5 2.59948579E-03 2.59948579E-03
0.6 3.83922616E-03 3.84464333E-03
0.7 4.38856104E-03 4.40930862E-03
0.8 4.92291249E-03 4.95616237E-03
0.9 5.42787128E-03 5.47118097E-03
1.0 5.92747346E-03 5.97925131E-03
1.1 6.23993282E-03 6.28166872E-03
1.2 6.93567617E-03 6.99970860E-03
1.3 7.43392942E-03 7.50193633E-03
1.4 7.94443120E-03 8.01553149E-03
1.5 8.49871144E-03 8.57232022E-03
1.6 9.00346414E-03 9.07871048E-03
1.7 9.21839964E-03 9.29476147E-03
1.8 9.36541044E-03 9.44255354E-03
1.9 9.50106453E-03 9.57881500E-03
2.0 9.62540761E-03 9.70343565E-03
