#wind_eta winds winds_init
0.5 4.06893032E-10 2.63015659E-09
0.6 4.03306493E-10 2.98214442E-09
0.7 4.01315370E-10 3.25537159E-09
0.8 4.00270577E-10 3.52662121E-09
0.9 4.07420810E-10 3.66956924E-09
1.0 3.97210864E-10 3.83654866E-09
1.1 4.05994129E-10 4.03405311E-09
1.2 4.07632658E-10 4.12789148E-09
1.3 4.04809146E-10 4.37070186E-09
1.4 4.05674292E-10 4.53824670E-09
1.5 4.05229783E-10 4.69512670E-09
1.6 4.04554052E-10 4.84563799E-09
1.7 4.00774483E-10 4.95409435E-09
1.8 4.00812484E-10 5.04765997E-09
1.9 3.96647912E-10 5.12712008E-09
2.0 4.05328542E-10 5.20063207E-09
