#int_mass winds winds_init
0.5 1.66178854E-05 1.66178854E-05
0.6 2.43148539E-05 2.45778771E-05
0.7 2.71239896E-05 2.81876460E-05
0.8 2.99242386E-05 3.16835501E-05
0.9 3.26373363E-05 3.49759397E-05
1.0 3.53648211E-05 3.82239108E-05
1.1 3.80561915E-05 4.01571923E-05
1.2 4.10100397E-05 4.47474480E-05
1.3 4.38892476E-05 4.79580687E-05
1.4 4.68953796E-05 5.12413586E-05
1.5 5.02168585E-05 5.48007746E-05
1.6 5.32688174E-05 5.80380054E-05
1.7 5.45104351E-05 5.94191672E-05
1.8 5.53406823E-05 6.03639663E-05
1.9 5.61117273E-05 6.12350529E-05
2.0 5.68415407E-05 6.20317226E-05
