#wind_eta winds winds_init
0.5 2.72456225E-05 5.07096885E-05
0.6 2.88177108E-05 5.74960499E-05
0.7 2.94248634E-05 6.27638976E-05
0.8 2.99375676E-05 6.79936181E-05
0.9 3.01684941E-05 7.07496709E-05
1.0 3.03196996E-05 7.39690512E-05
1.1 3.04236731E-05 7.77769571E-05
1.2 3.05512555E-05 7.95861706E-05
1.3 3.06616733E-05 8.42675795E-05
1.4 3.07602680E-05 8.74978612E-05
1.5 3.08896873E-05 9.05225237E-05
1.6 3.09600110E-05 9.34243968E-05
1.7 3.10711608E-05 9.55154465E-05
1.8 3.10961820E-05 9.73194013E-05
1.9 3.12859387E-05 9.88514003E-05
2.0 3.13106252E-05 1.00268719E-04
