#int_mass winds winds_init
0.5 5.06281703E+00 6.30242031E+00
0.6 5.30909872E+00 9.32128897E+00
0.7 5.98514573E+00 1.06903128E+01
0.8 6.64774070E+00 1.20161528E+01
0.9 7.29699168E+00 1.32648088E+01
1.0 7.95714030E+00 1.44966189E+01
1.1 9.17010493E+00 1.52298261E+01
1.2 9.30048757E+00 1.69707047E+01
1.3 1.00043635E+01 1.81883495E+01
1.4 1.07838566E+01 1.94335544E+01
1.5 1.16900228E+01 2.07834816E+01
1.6 1.24315836E+01 2.20112184E+01
1.7 1.25885592E+01 2.25350313E+01
1.8 1.26371244E+01 2.28933513E+01
1.9 1.26838972E+01 2.32237154E+01
2.0 1.27467014E+01 2.35258566E+01
