#int_mass winds winds_init
0.5 1.40952464E-05 2.46689085E-05
0.6 1.78263693E-05 3.64853522E-05
0.7 2.04179059E-05 4.18439799E-05
0.8 2.29661073E-05 4.70335774E-05
0.9 2.53911348E-05 5.19210620E-05
1.0 2.76168404E-05 5.67426082E-05
1.1 2.89796212E-05 5.96125248E-05
1.2 2.86244612E-05 6.64266648E-05
1.3 2.87796685E-05 7.11927651E-05
1.4 2.89169398E-05 7.60667414E-05
1.5 2.93369312E-05 8.13506210E-05
1.6 2.97822850E-05 8.61562234E-05
1.7 2.98283958E-05 8.82065297E-05
1.8 2.97763685E-05 8.96090645E-05
1.9 3.00339424E-05 9.09021746E-05
2.0 3.00540251E-05 9.20848144E-05
