#int_mass winds winds_init
0.5 3.25924311E-98 8.86229314E-99
0.6 7.08726918E-48 1.31073447E-98
0.7 2.70687775E-43 1.50324290E-98
0.8 3.40033322E-43 1.68967893E-98
0.9 3.86338618E-43 1.86526158E-98
1.0 4.87645649E-43 2.03847538E-98
1.1 3.68424653E-43 2.14157699E-98
1.2 6.00951307E-43 2.38637463E-98
1.3 6.60246544E-43 2.55759655E-98
1.4 7.04408746E-43 2.73269391E-98
1.5 7.22503147E-43 2.92251702E-98
1.6 7.96199740E-43 3.09515805E-98
1.7 8.95386312E-43 3.16881520E-98
1.8 9.79225231E-43 3.21920119E-98
1.9 1.01322177E-42 3.26565611E-98
2.0 9.69294485E-43 3.30814239E-98
