#int_mass winds winds_init
0.5 1.00483012E-04 1.00483012E-04
0.6 1.51120443E-04 1.48614524E-04
0.7 1.81938897E-04 1.70441637E-04
0.8 2.11916038E-04 1.91580245E-04
0.9 2.39627800E-04 2.11488267E-04
1.0 2.66931312E-04 2.31127705E-04
1.1 2.64630211E-04 2.42817637E-04
1.2 3.21743753E-04 2.70573438E-04
1.3 3.47805135E-04 2.89987030E-04
1.4 3.73516830E-04 3.09840029E-04
1.5 4.00271315E-04 3.31362673E-04
1.6 4.24331048E-04 3.50937167E-04
1.7 4.36192124E-04 3.59288609E-04
1.8 4.44932656E-04 3.65001505E-04
1.9 4.52907853E-04 3.70268686E-04
2.0 4.59678600E-04 3.75085892E-04
