#int_mass winds winds_init
0.5 9.91661823E-98 8.86229314E-99
0.6 2.01561842E-97 1.31073447E-98
0.7 2.05042937E-97 1.50324290E-98
0.8 2.06457191E-97 1.68967893E-98
0.9 2.22650134E-97 1.86526158E-98
1.0 2.30086282E-97 2.03847538E-98
1.1 2.78699370E-97 2.14157699E-98
1.2 2.86453972E-97 2.38637463E-98
1.3 3.51305219E-97 2.55759655E-98
1.4 3.92962398E-97 2.73269391E-98
1.5 4.14036274E-97 2.92251702E-98
1.6 4.82262169E-97 3.09515805E-98
1.7 4.94655148E-97 3.16881520E-98
1.8 4.96023398E-97 3.21920119E-98
1.9 5.05242665E-97 3.26565611E-98
2.0 5.17051758E-97 3.30814239E-98
