#int_mass winds winds_init
0.5 2.53160207E-98 8.86229314E-99
0.6 3.37191412E-46 1.31073447E-98
0.7 4.39892503E-43 1.50324290E-98
0.8 9.17413644E-42 1.68967893E-98
0.9 6.40565392E-43 1.86526158E-98
1.0 7.99574294E-43 2.03847538E-98
1.1 5.06670962E-42 2.14157699E-98
1.2 1.02305836E-42 2.38637463E-98
1.3 1.17239983E-42 2.55759655E-98
1.4 1.23971482E-42 2.73269391E-98
1.5 1.25491444E-42 2.92251702E-98
1.6 1.39547232E-42 3.09515805E-98
1.7 1.58973647E-42 3.16881520E-98
1.8 1.72460003E-42 3.21920119E-98
1.9 1.80496025E-42 3.26565611E-98
2.0 1.81186104E-42 3.30814239E-98
