#int_mass winds winds_init
0.5 4.38916711E-98 8.86229314E-99
0.6 2.57464769E-42 1.31073447E-98
0.7 9.61582685E-40 1.50324290E-98
0.8 1.23505184E-39 1.68967893E-98
0.9 1.45891636E-39 1.86526158E-98
1.0 1.85981524E-39 2.03847538E-98
1.1 1.32783896E-39 2.14157699E-98
1.2 2.51278264E-39 2.38637463E-98
1.3 2.88599518E-39 2.55759655E-98
1.4 3.18329810E-39 2.73269391E-98
1.5 3.20707967E-39 2.92251702E-98
1.6 3.62088461E-39 3.09515805E-98
1.7 4.20245520E-39 3.16881520E-98
1.8 4.47616299E-39 3.21920119E-98
1.9 4.77105441E-39 3.26565611E-98
2.0 4.85290616E-39 3.30814239E-98
