#int_mass winds winds_init
0.5 1.41637565E-38 7.28499385E-31
0.6 1.69958660E-38 1.07745167E-30
0.7 1.98283654E-38 1.23569770E-30
0.8 2.26608784E-38 1.38895210E-30
0.9 2.54940159E-38 1.53328477E-30
1.0 2.83264767E-38 1.67567021E-30
1.1 3.11588959E-38 1.76042193E-30
1.2 4.15962614E-23 1.96165081E-30
1.3 4.52577870E-23 2.10239888E-30
1.4 4.84278337E-23 2.24633264E-30
1.5 5.18574594E-23 2.40237128E-30
1.6 5.40734540E-23 2.54428589E-30
1.7 5.55889283E-23 2.60483364E-30
1.8 5.73086490E-23 2.64625199E-30
1.9 5.93391109E-23 2.68443892E-30
2.0 6.04177003E-23 2.71936355E-30
