#int_mass winds winds_init
0.5 1.40773477E-04 2.50929817E-04
0.6 1.60067445E-04 3.71125571E-04
0.7 1.86156248E-04 4.25633028E-04
0.8 2.12320156E-04 4.78421126E-04
0.9 2.38178132E-04 5.28136160E-04
1.0 2.64388695E-04 5.77180474E-04
1.1 2.83581657E-04 6.06372996E-04
1.2 2.92089295E-04 6.75685787E-04
1.3 3.01185033E-04 7.24166111E-04
1.4 3.08311611E-04 7.73743740E-04
1.5 3.11335532E-04 8.27490867E-04
1.6 3.13267919E-04 8.76373003E-04
1.7 3.13180584E-04 8.97228526E-04
1.8 3.12502977E-04 9.11494977E-04
1.9 3.13808884E-04 9.24648371E-04
2.0 3.13642708E-04 9.36678072E-04
