#wind_eta winds winds_init
0.5 4.11293688E-98 1.82174304E-98
0.6 1.36005301E-97 2.06554274E-98
0.7 2.91385433E-58 2.25478991E-98
0.8 1.34004783E-54 2.44266736E-98
0.9 1.66710032E-48 2.54167841E-98
1.0 2.15917178E-45 2.65733449E-98
1.1 2.15740695E-45 2.79413332E-98
1.2 2.12729532E-45 2.85912923E-98
1.3 2.90289222E-45 3.02730861E-98
1.4 4.13068311E-45 3.14335632E-98
1.5 3.99789522E-45 3.25201717E-98
1.6 4.96619579E-45 3.35626682E-98
1.7 4.52360070E-45 3.43138767E-98
1.8 5.72963529E-45 3.49619466E-98
1.9 5.65898622E-45 3.55123165E-98
2.0 6.26195501E-45 3.60214875E-98
