#int_mass winds winds_init
0.5 1.90265295E-98 8.86229314E-99
0.6 2.47377977E-46 1.31073447E-98
0.7 9.48991219E-42 1.50324290E-98
0.8 1.19006222E-41 1.68967893E-98
0.9 1.35578158E-41 1.86526158E-98
1.0 1.66963538E-41 2.03847538E-98
1.1 1.29158305E-41 2.14157699E-98
1.2 2.06327274E-41 2.38637463E-98
1.3 2.26783975E-41 2.55759655E-98
1.4 2.34898771E-41 2.73269391E-98
1.5 2.53963198E-41 2.92251702E-98
1.6 2.79287489E-41 3.09515805E-98
1.7 3.04976950E-41 3.16881520E-98
1.8 3.41363652E-41 3.21920119E-98
1.9 3.45460775E-41 3.26565611E-98
2.0 3.34080170E-41 3.30814239E-98
