#int_mass winds winds_init
0.5 5.37281045E-98 8.86229314E-99
0.6 1.22523402E-42 1.31073447E-98
0.7 2.36197843E-40 1.50324290E-98
0.8 3.08851407E-40 1.68967893E-98
0.9 3.77578980E-40 1.86526158E-98
1.0 4.94708803E-40 2.03847538E-98
1.1 3.26434712E-40 2.14157699E-98
1.2 6.89338719E-40 2.38637463E-98
1.3 8.17763993E-40 2.55759655E-98
1.4 9.17763717E-40 2.73269391E-98
1.5 9.34975535E-40 2.92251702E-98
1.6 1.07123004E-39 3.09515805E-98
1.7 1.25758597E-39 3.16881520E-98
1.8 1.32554850E-39 3.21920119E-98
1.9 1.43029592E-39 3.26565611E-98
2.0 1.49023769E-39 3.30814239E-98
