#int_mass winds winds_init
0.5 5.05709707E-03 5.05698793E-03
0.6 7.47850592E-03 7.47929264E-03
0.7 8.57384584E-03 8.57778127E-03
0.8 9.63536023E-03 9.64161966E-03
0.9 1.06355264E-02 1.06435266E-02
1.0 1.16226393E-02 1.16319165E-02
1.1 1.22117712E-02 1.22202334E-02
1.2 1.36066586E-02 1.36170938E-02
1.3 1.45836017E-02 1.45941177E-02
1.4 1.55828110E-02 1.55932555E-02
1.5 1.66661275E-02 1.66764212E-02
1.6 1.76515534E-02 1.76615428E-02
1.7 1.80721536E-02 1.80818441E-02
1.8 1.83599915E-02 1.83693558E-02
1.9 1.86254073E-02 1.86344361E-02
2.0 1.88681450E-02 1.88768707E-02
