#wind_eta winds winds_init
0.5 5.34353251E-03 5.34353251E-03
0.6 6.05864522E-03 6.05864522E-03
0.7 6.61374458E-03 6.61374458E-03
0.8 7.16482610E-03 7.16482628E-03
0.9 7.43664483E-03 7.45524529E-03
1.0 7.75968934E-03 7.79448743E-03
1.1 8.14661137E-03 8.19574544E-03
1.2 8.33851417E-03 8.38639129E-03
1.3 8.81294508E-03 8.87969466E-03
1.4 9.14765824E-03 9.22008554E-03
1.5 9.46329207E-03 9.53880929E-03
1.6 9.76730785E-03 9.84459412E-03
1.7 9.98646982E-03 1.00649384E-02
1.8 1.01756043E-02 1.02550301E-02
1.9 1.03362882E-02 1.04164645E-02
2.0 1.04852269E-02 1.05658144E-02
