#wind_eta winds winds_init
0.5 6.75862609E-06 6.75862609E-06
0.6 7.66311752E-06 7.66311752E-06
0.7 8.36522030E-06 8.36522030E-06
0.8 9.06224374E-06 9.06224144E-06
0.9 9.86960164E-06 9.42957026E-06
1.0 1.07201491E-05 9.85865173E-06
1.1 1.16183673E-05 1.03661723E-05
1.2 1.18302110E-05 1.06073057E-05
1.3 1.29884423E-05 1.12312475E-05
1.4 1.35979429E-05 1.16617819E-05
1.5 1.41118877E-05 1.20649112E-05
1.6 1.45741065E-05 1.24516751E-05
1.7 1.49019122E-05 1.27303718E-05
1.8 1.51827023E-05 1.29708043E-05
1.9 1.54190810E-05 1.31749903E-05
2.0 1.56302423E-05 1.33638916E-05
