#int_mass winds winds_init
0.5 3.21268432E-98 8.96772307E-99
0.6 1.36698494E-95 1.32632757E-98
0.7 7.29206299E-96 1.52112617E-98
0.8 4.98629284E-91 1.70978013E-98
0.9 3.97844726E-89 1.88745159E-98
1.0 1.45034326E-81 2.06272603E-98
1.1 1.54584609E-82 2.16705418E-98
1.2 8.61244672E-76 2.41476405E-98
1.3 5.57422831E-76 2.58802290E-98
1.4 2.89916221E-76 2.76520330E-98
1.5 4.65872229E-76 2.95728463E-98
1.6 8.90956556E-76 3.13197948E-98
1.7 3.58535104E-73 3.20651289E-98
1.8 2.43026405E-76 3.25749830E-98
1.9 2.15882189E-76 3.30450586E-98
2.0 1.02561993E-75 3.34749758E-98
