#int_mass winds winds_init
0.5 1.47447287E-98 8.86229314E-99
0.6 1.54440020E-98 1.31073447E-98
0.7 1.65926186E-98 1.50324290E-98
0.8 1.84926227E-98 1.68967893E-98
0.9 2.03760182E-98 1.86526158E-98
1.0 2.32268387E-98 2.03847538E-98
1.1 2.36989337E-98 2.14157699E-98
1.2 2.56386017E-98 2.38637463E-98
1.3 2.71080090E-98 2.55759655E-98
1.4 3.01691619E-98 2.73269391E-98
1.5 3.07195370E-98 2.92251702E-98
1.6 3.09332131E-98 3.09515805E-98
1.7 3.20943246E-98 3.16881520E-98
1.8 3.35877436E-98 3.21920119E-98
1.9 3.29462776E-98 3.26565611E-98
2.0 3.37929600E-98 3.30814239E-98
