#int_mass winds winds_init
0.5 2.49615628E-98 8.86229314E-99
0.6 4.04499691E-49 1.31073447E-98
0.7 1.11259885E-45 1.50324290E-98
0.8 1.42968252E-45 1.68967893E-98
0.9 1.61835995E-45 1.86526158E-98
1.0 2.07476532E-45 2.03847538E-98
1.1 1.56278509E-45 2.14157699E-98
1.2 2.72144517E-45 2.38637463E-98
1.3 3.05133772E-45 2.55759655E-98
1.4 3.35283956E-45 2.73269391E-98
1.5 3.03763571E-45 2.92251702E-98
1.6 3.39367244E-45 3.09515805E-98
1.7 4.04936335E-45 3.16881520E-98
1.8 4.35616738E-45 3.21920119E-98
1.9 4.65062303E-45 3.26565611E-98
2.0 4.69544248E-45 3.30814239E-98
