#wind_eta winds winds_init
0.5 2.54295277E-98 1.82174304E-98
0.6 2.44301366E-98 2.06554274E-98
0.7 3.74186055E-98 2.25478991E-98
0.8 3.64591371E-98 2.44266736E-98
0.9 7.93332624E-91 2.54167841E-98
1.0 1.11035721E-82 2.65733449E-98
1.1 9.96114921E-83 2.79413332E-98
1.2 3.12399575E-83 2.85912923E-98
1.3 9.25796300E-82 3.02730861E-98
1.4 2.75106991E-82 3.14335632E-98
1.5 3.51075614E-82 3.25201717E-98
1.6 3.99779312E-82 3.35626682E-98
1.7 4.96584538E-82 3.43138767E-98
1.8 5.03973800E-82 3.49619466E-98
1.9 5.80454578E-82 3.55123165E-98
2.0 5.72570039E-82 3.60214875E-98
