#wind_eta winds winds_init
0.5 4.61440570E-98 1.82174304E-98
0.6 5.08141951E-98 2.06554274E-98
0.7 1.05471359E-75 2.25478991E-98
0.8 9.86994754E-69 2.44266736E-98
0.9 6.07394797E-56 2.54167841E-98
1.0 2.52484669E-49 2.65733449E-98
1.1 2.65177516E-49 2.79413332E-98
1.2 2.47363475E-49 2.85912923E-98
1.3 3.60404925E-49 3.02730861E-98
1.4 4.73511957E-49 3.14335632E-98
1.5 4.83065172E-49 3.25201717E-98
1.6 5.64711545E-49 3.35626682E-98
1.7 5.34844750E-49 3.43138767E-98
1.8 6.52250202E-49 3.49619466E-98
1.9 6.43907282E-49 3.55123165E-98
2.0 7.08068361E-49 3.60214875E-98
