#wind_eta winds winds_init
0.5 5.35822523E-98 1.82174304E-98
0.6 4.23279142E-98 2.06554274E-98
0.7 8.76326525E-76 2.25478991E-98
0.8 4.95700957E-69 2.44266736E-98
0.9 1.11026950E-56 2.54167841E-98
1.0 2.64391220E-50 2.65733449E-98
1.1 2.74266187E-50 2.79413332E-98
1.2 2.59060536E-50 2.85912923E-98
1.3 3.74264920E-50 3.02730861E-98
1.4 4.92786810E-50 3.14335632E-98
1.5 4.98067752E-50 3.25201717E-98
1.6 5.87551814E-50 3.35626682E-98
1.7 5.51972610E-50 3.43138767E-98
1.8 6.77679170E-50 3.49619466E-98
1.9 6.68757449E-50 3.55123165E-98
2.0 7.35435213E-50 3.60214875E-98
