#wind_eta winds winds_init
0.5 2.73338346E-05 2.73338346E-05
0.6 3.09918590E-05 3.09918590E-05
0.7 3.38313652E-05 3.38313653E-05
0.8 3.66502095E-05 3.66503200E-05
0.9 3.79061373E-05 3.81359037E-05
1.0 3.93506232E-05 3.98712330E-05
1.1 4.10539407E-05 4.19237929E-05
1.2 4.20496537E-05 4.28990058E-05
1.3 4.39561418E-05 4.54224063E-05
1.4 4.54017085E-05 4.71636118E-05
1.5 4.67764680E-05 4.87939831E-05
1.6 4.80981929E-05 5.03581678E-05
1.7 4.90628928E-05 5.14852977E-05
1.8 4.98944723E-05 5.24576761E-05
1.9 5.06033330E-05 5.32834632E-05
2.0 5.12641702E-05 5.40474346E-05
