#int_mass winds winds_init
0.5 2.59853818E-98 8.86229314E-99
0.6 1.70840195E-98 1.31073447E-98
0.7 1.90404256E-98 1.50324290E-98
0.8 1.98331868E-98 1.68967893E-98
0.9 2.25608786E-98 1.86526158E-98
1.0 2.30899523E-98 2.03847538E-98
1.1 2.41687186E-98 2.14157699E-98
1.2 2.74585476E-98 2.38637463E-98
1.3 2.91247963E-98 2.55759655E-98
1.4 3.03481311E-98 2.73269391E-98
1.5 3.22544948E-98 2.92251702E-98
1.6 3.26683234E-98 3.09515805E-98
1.7 3.33337511E-98 3.16881520E-98
1.8 3.55771259E-98 3.21920119E-98
1.9 3.68328296E-98 3.26565611E-98
2.0 3.68554915E-98 3.30814239E-98
