#int_mass winds winds_init
0.5 6.66691981E-06 6.66691981E-06
0.6 1.14314650E-05 9.86038427E-06
0.7 1.76135928E-05 1.13085854E-05
0.8 2.31520064E-05 1.27111051E-05
0.9 2.79516691E-05 1.40319770E-05
1.0 3.23841542E-05 1.53350286E-05
1.1 2.86275780E-05 1.61106407E-05
1.2 4.02725031E-05 1.79522028E-05
1.3 4.36112339E-05 1.92402698E-05
1.4 4.66875443E-05 2.05574910E-05
1.5 4.96522615E-05 2.19854910E-05
1.6 5.21877014E-05 2.32842338E-05
1.7 5.36924262E-05 2.38383413E-05
1.8 5.48723519E-05 2.42173847E-05
1.9 5.59357259E-05 2.45668554E-05
2.0 5.67496708E-05 2.48864709E-05
