#int_mass winds winds_init
0.5 5.73759809E-06 5.73759809E-06
0.6 8.35805466E-06 8.48591606E-06
0.7 9.20104020E-06 9.73224813E-06
0.8 1.00449428E-05 1.09392665E-05
0.9 1.08725979E-05 1.20760181E-05
1.0 1.17078666E-05 1.31974335E-05
1.1 1.28234377E-05 1.38649308E-05
1.2 1.34485374E-05 1.54497920E-05
1.3 1.43517290E-05 1.65583116E-05
1.4 1.53083786E-05 1.76919214E-05
1.5 1.63818022E-05 1.89208682E-05
1.6 1.73718341E-05 2.00385754E-05
1.7 1.77501107E-05 2.05154442E-05
1.8 1.79923033E-05 2.08416516E-05
1.9 1.82178030E-05 2.11424086E-05
2.0 1.84397447E-05 2.14174719E-05
