#wind_eta winds winds_init
0.5 1.04286296E-97 1.82174304E-98
0.6 1.03456219E-97 2.06554274E-98
0.7 1.30430381E-97 2.25478991E-98
0.8 1.76243734E-97 2.44266736E-98
0.9 1.25126394E-94 2.54167841E-98
1.0 1.97200988E-78 2.65733449E-98
1.1 2.52604694E-82 2.79413332E-98
1.2 7.92450907E-83 2.85912923E-98
1.3 5.26325955E-82 3.02730861E-98
1.4 6.95555061E-82 3.14335632E-98
1.5 8.94616218E-82 3.25201717E-98
1.6 1.00527777E-81 3.35626682E-98
1.7 1.25002999E-81 3.43138767E-98
1.8 1.25134329E-81 3.49619466E-98
1.9 1.46355743E-81 3.55123165E-98
2.0 1.45016794E-81 3.60214875E-98
