#wind_eta winds winds_init
0.5 1.96102597E-98 1.82174304E-98
0.6 1.13643246E-97 2.06554274E-98
0.7 1.61888112E-97 2.25478991E-98
0.8 2.00891692E-97 2.44266736E-98
0.9 2.31617066E-97 2.54167841E-98
1.0 2.08448099E-97 2.65733449E-98
1.1 2.27200949E-97 2.79413332E-98
1.2 2.40037378E-97 2.85912923E-98
1.3 2.68863756E-97 3.02730861E-98
1.4 3.00255331E-97 3.14335632E-98
1.5 3.09216051E-97 3.25201717E-98
1.6 3.00704119E-97 3.35626682E-98
1.7 3.26465012E-97 3.43138767E-98
1.8 3.19750990E-97 3.49619466E-98
1.9 3.17709495E-97 3.55123165E-98
2.0 3.39902477E-97 3.60214875E-98
