#int_mass winds winds_init
0.5 2.64554718E-89 8.86229314E-99
0.6 2.40798061E-84 1.31073447E-98
0.7 1.40829791E-85 1.50324290E-98
0.8 4.76995094E-85 1.68967893E-98
0.9 9.20703690E-86 1.86526158E-98
1.0 1.11353331E-86 2.03847538E-98
1.1 9.08331262E-68 2.14157699E-98
1.2 1.86864678E-86 2.38637463E-98
1.3 5.64888542E-86 2.55759655E-98
1.4 4.54012198E-84 2.73269391E-98
1.5 5.69600000E-86 2.92251702E-98
1.6 9.56622695E-74 3.09515805E-98
1.7 7.13197394E-73 3.16881520E-98
1.8 9.91766793E-87 3.21920119E-98
1.9 2.16917121E-86 3.26565611E-98
2.0 4.82715355E-87 3.30814239E-98
