#wind_eta winds winds_init
0.5 9.48939290E-98 1.82174304E-98
0.6 2.05320588E-97 2.06554274E-98
0.7 6.76169675E-49 2.25478991E-98
0.8 3.13237538E-46 2.44266736E-98
0.9 5.74740773E-42 2.54167841E-98
1.0 1.35572028E-39 2.65733449E-98
1.1 1.44827539E-39 2.79413332E-98
1.2 1.32993611E-39 2.85912923E-98
1.3 2.06114620E-39 3.02730861E-98
1.4 2.83562732E-39 3.14335632E-98
1.5 2.90140992E-39 3.25201717E-98
1.6 3.59691355E-39 3.35626682E-98
1.7 3.64140330E-39 3.43138767E-98
1.8 4.38630420E-39 3.49619466E-98
1.9 4.49455444E-39 3.55123165E-98
2.0 5.01878434E-39 3.60214875E-98
