#wind_eta winds winds_init
0.5 2.22671917E-97 1.82174304E-98
0.6 1.72921316E-97 2.06554274E-98
0.7 8.85038094E-61 2.25478991E-98
0.8 6.69195678E-59 2.44266736E-98
0.9 3.49068394E-49 2.54167841E-98
1.0 4.45542322E-50 2.65733449E-98
1.1 1.01795244E-50 2.79413332E-98
1.2 3.25059561E-52 2.85912923E-98
1.3 5.44424384E-52 3.02730861E-98
1.4 7.59324419E-52 3.14335632E-98
1.5 7.88019061E-52 3.25201717E-98
1.6 9.59595004E-52 3.35626682E-98
1.7 1.01724627E-51 3.43138767E-98
1.8 1.23520910E-51 3.49619466E-98
1.9 1.27744569E-51 3.55123165E-98
2.0 1.42665282E-51 3.60214875E-98
