#wind_eta winds winds_init
0.5 1.49098924E-97 1.82174304E-98
0.6 3.54912520E-97 2.06554274E-98
0.7 3.86487582E-97 2.25478991E-98
0.8 4.25601966E-97 2.44266736E-98
0.9 4.41522092E-97 2.54167841E-98
1.0 4.65733115E-97 2.65733449E-98
1.1 5.01293034E-97 2.79413332E-98
1.2 4.66498980E-97 2.85912923E-98
1.3 4.90452691E-97 3.02730861E-98
1.4 4.84012928E-97 3.14335632E-98
1.5 4.97560657E-97 3.25201717E-98
1.6 5.17853538E-97 3.35626682E-98
1.7 4.99973379E-97 3.43138767E-98
1.8 4.89117854E-97 3.49619466E-98
1.9 5.21822572E-97 3.55123165E-98
2.0 5.27757928E-97 3.60214875E-98
