#int_mass winds winds_init
0.5 1.78210018E-06 1.78210018E-06
0.6 2.65193581E-06 2.63572880E-06
0.7 3.08174681E-06 3.02284002E-06
0.8 3.48890056E-06 3.39774038E-06
0.9 3.86686585E-06 3.75081588E-06
1.0 4.23457281E-06 4.09912793E-06
1.1 4.42734166E-06 4.30645283E-06
1.2 4.95555165E-06 4.79871134E-06
1.3 5.30417401E-06 5.14301794E-06
1.4 5.65865095E-06 5.49511759E-06
1.5 6.04172050E-06 5.87682896E-06
1.6 6.38828079E-06 6.22398923E-06
1.7 6.53545518E-06 6.37210487E-06
1.8 6.63542347E-06 6.47342502E-06
1.9 6.72742002E-06 6.56684025E-06
2.0 6.81141412E-06 6.65227502E-06
