#int_mass winds winds_init
0.5 6.31013333E-04 5.86802934E-04
0.6 9.72079320E-04 8.67882407E-04
0.7 1.40970675E-03 9.95348867E-04
0.8 1.78377023E-03 1.11879458E-03
0.9 2.10065579E-03 1.23505389E-03
1.0 2.38146202E-03 1.34974472E-03
1.1 2.30891692E-03 1.41801184E-03
1.2 2.84369193E-03 1.58010079E-03
1.3 3.02645333E-03 1.69347271E-03
1.4 3.19284003E-03 1.80941070E-03
1.5 3.37496304E-03 1.93509912E-03
1.6 3.53456976E-03 2.04941068E-03
1.7 3.59666553E-03 2.09818162E-03
1.8 3.63075867E-03 2.13154392E-03
1.9 3.65856379E-03 2.16230332E-03
2.0 3.68100952E-03 2.19043494E-03
