#int_mass winds winds_init
0.5 1.37831625E-96 1.37412502E-96
0.6 1.24779286E-42 2.03233294E-96
0.7 3.18404421E-40 2.33082302E-96
0.8 4.05847997E-40 2.61989766E-96
0.9 4.74018242E-40 2.89214379E-96
1.0 6.09365084E-40 3.16071697E-96
1.1 8.85597387E-38 3.32057910E-96
1.2 8.33335205E-40 3.70014516E-96
1.3 9.84792331E-40 3.96562985E-96
1.4 1.08760123E-39 4.23712353E-96
1.5 1.15298373E-39 4.53144994E-96
1.6 1.30010494E-39 4.79913501E-96
1.7 1.48609809E-39 4.91334263E-96
1.8 1.60191679E-39 4.99146761E-96
1.9 1.70203428E-39 5.06349735E-96
2.0 1.67682912E-39 5.12937359E-96
