#energy mass_cut time_inj mass_inj cc cc_init
2.76371406E+00 1.86102387E+00 1.41988871E-01 3.58813377E-02 5.41245184E-05 1.37029705E-06
1.23358440E+00 1.61888799E+00 6.39540914E-03 1.11579757E-02 1.75361764E-05 1.43362162E-06
2.20319872E+00 1.76671786E+00 3.67633179E-01 3.24282007E-02 3.65341995E-05 1.40571757E-06
3.20367712E+00 1.57701480E+00 4.94613547E-03 3.81588302E-02 2.14179620E-05 1.43362162E-06
1.56869885E+00 1.13787680E+00 3.48729830E-01 3.44970427E-01 6.20140564E-05 1.43362162E-06
1.36582134E+00 1.86422228E+00 2.30150683E-02 1.50392405E-02 1.52365965E-05 1.36907197E-06
7.72256024E-01 1.37857856E+00 6.41461985E-03 4.63811517E-02 1.65809389E-05 1.43362162E-06
1.88286002E+00 1.49271327E+00 3.99697665E-03 2.80461830E-02 1.92411790E-05 1.43362162E-06
9.67862700E-01 1.16144684E+00 2.93536377E-02 4.37142405E-02 1.71232782E-05 1.43362162E-06
2.10613240E+00 1.57603715E+00 2.58774737E-02 3.94823352E-01 2.37783853E-05 1.43362162E-06
4.03119417E+00 1.06553676E+00 4.35752240E-03 2.67202383E-02 2.22490762E-05 1.43362162E-06
7.08758812E-01 1.44132575E+00 4.94630877E-03 1.41390932E-02 1.67687710E-05 1.43362162E-06
3.41747081E+00 1.42276124E+00 2.00369380E-01 4.86410797E-01 6.58179849E-05 1.43362162E-06
1.33031323E+00 1.94050890E+00 2.41099782E-02 3.39635419E-02 2.26937291E-05 1.34076509E-06
4.73415227E+00 1.86253636E+00 4.56329918E-01 2.31312733E-01 7.36042726E-06 1.36907197E-06
5.15051714E-01 1.14686720E+00 7.31386690E-03 4.58016007E-01 1.43698812E-05 1.38346662E-06
1.20196910E+00 1.34328865E+00 3.23558016E-02 1.06070408E-02 1.78221219E-05 1.43362162E-06
1.06768840E+00 1.24555447E+00 5.86231918E-03 7.04745660E-02 1.90633476E-05 1.43362162E-06
6.66559478E-01 1.47967444E+00 8.53232796E-02 4.13022623E-02 2.45863994E-05 1.43362162E-06
1.24114086E+00 1.39743701E+00 2.35145075E-01 1.06399261E-02 5.06632807E-05 1.43362162E-06
2.47832131E+00 1.74269650E+00 5.22561984E-03 2.29696121E-01 1.46753475E-05 1.41421011E-06
1.26145848E+00 1.13435699E+00 2.28180273E-01 7.24488668E-02 6.32421380E-05 1.43362162E-06
9.73193193E-01 1.15878453E+00 1.25136354E-02 6.03388414E-02 1.78741873E-05 1.43362162E-06
9.12273735E-01 1.67862932E+00 1.49196916E-02 3.01065846E-02 1.71587451E-05 1.43362162E-06
3.54513976E+00 1.04226329E+00 3.65968029E-02 1.43013885E-01 2.41031114E-05 1.43362162E-06
7.17504959E-01 1.93085333E+00 1.34077484E-03 3.03217003E-01 4.79436120E-06 1.34323693E-06
6.11792540E-01 1.82834973E+00 1.37435036E-01 2.23270946E-02 1.38675900E-05 1.38254783E-06
7.73887935E-01 1.83520117E+00 4.01608002E-02 4.03985138E-01 7.41210628E-06 1.36999108E-06
